REGIÓN;PROVINCIA;DISTRITO;CODIGO DEL RECURSO;NOMBRE DEL RECURSO;CATEGORÍA;TIPO DE CATEGORÍA;SUB TIPO CATEGORÍA;URL;longitud;latitud;FECHA_DE_CORTE;ALTITUD;DISTANCIA_CAPITAL_KM;INDICE_COSTO_LOGISTICO;ZONA_CLIMATICA
Cusco;Cusco;CUSCO;11;Festividad Del Señor De Los Temblores;5. ACONTECIMIENTOS PROGRAMADOS;Fiestas;Fiestas religiosas-patronales;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11;-71.9801;-13.5153;20260831;3415.0;1.6;1;Templado Seco (Quechua)
Cajamarca;Contumaza;YONAN;16;Petroglifos De Yonan;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Petroglifos (Grabados en piedra);https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=16;-79.130786;-7.2531078579146415;20260831;441.0;70.26;2;Cálido / Desértico (Costa)
Amazonas;Chachapoyas;LEVANTO;17;Sitio Arqueológico De Collacruz;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Zonas arqueológicas;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=17;-77.90701353525948;-6.310457893297969;20260831;2686.0;9.77;1;Templado Seco (Quechua)
Huánuco;Lauricocha;SAN MIGUEL DE CAURI;22;Laguna De Lauricocha;1. SITIOS NATURALES;g. Cuerpo de Agua;Lagunas;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=22;-76.66389048099518;-10.31582177475902;20260831;3850.0;62.97;2;Frío (Suni)
Huánuco;Lauricocha;QUEROPALCA;24;Nevado De Yerupajá De Queropalca;1. SITIOS NATURALES;a. Montañas;Nevado;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=24;-76.90523484;-10.26842392998;20260831;6370.0;81.73;3;Glacial / Nieve (Janca)
Huánuco;Lauricocha;QUEROPALCA;25;Cordillera Huayhuash - Huánuco;1. SITIOS NATURALES;a. Montañas;Cordillera;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=25;-76.88232421875;-10.21221925;20260831;4709.0;76.76;2;Muy Frío (Puna)
Apurímac;Aymaraes;CARAYBAMBA;29;Andenerías De Caraybamba ;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Andenes;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=29;-73.146075710874;-14.3795384092317;20260831;3519.0;87.69;3;Frío (Suni)
Apurímac;Cotabambas;CHALLHUAHUACHO;30; Sitio Arqueológico De Marcapuchungo;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Zonas arqueológicas;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=30;-72.24641025066376;-14.118602157492754;20260831;3697.0;87.2;3;Frío (Suni)
Apurímac;Abancay;ABANCAY;31;Puente Colonial Pachachaca;2. MANIFESTACIONES CULTURALES;Arquitectura y Espacios Urbanos;Puentes;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=31;-72.93724536895;-13.66304310483;20260831;1700.0;6.85;1;Templado Cálido (Yunga)
Apurímac;Abancay;CURAHUASI;32;Templo Santa Catalina De Curahuasi;2. MANIFESTACIONES CULTURALES;Arquitectura y Espacios Urbanos;Templo;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=32;-72.6959277777778;-13.542775;20260831;2693.0;22.46;2;Templado Seco (Quechua)
Apurímac;Aymaraes;CHALHUANCA;33;Templo De Chuquinga;2. MANIFESTACIONES CULTURALES;Arquitectura y Espacios Urbanos;Iglesias;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=33;-73.2564220017;-14.29133333333;20260831;2873.0;83.56;3;Templado Seco (Quechua)
Apurímac;Chincheros;COCHARCAS;34;Templo Colonial De Cocharcas;2. MANIFESTACIONES CULTURALES;Arquitectura y Espacios Urbanos;Templo;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=34;-73.73803403439331;-13.611938030618076;20260831;3001.0;92.61;3;Templado Seco (Quechua)
Apurímac;Aymaraes;CHALHUANCA;36;Baños Termales De Pincahuacho;1. SITIOS NATURALES;k. Agua termo-mineral;Otros;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=36;-73.276745;-14.283773;20260831;3043.0;83.92;3;Templado Seco (Quechua)
Ica;Pisco;HUMAY;37;Centro Administrativo Tambo Colorado;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Templos;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=37;-75.82944777203284;-13.705141030751882;20260831;497.0;41.77;2;Cálido / Desértico (Costa)
