ID_EVENTO;NOMBRE_EVENTO;REGION;CATEGORIA;LATITUD;LONGITUD;FECHA_INICIO;FECHA_FIN;COSTO_PEN;RELEVANCIA_PUBLICIDAD
EVT-0001;Feria Gastronómica Andes PIURA;PIURA;Gastronomía;-5.10469;-80.60539;2024-05-23;2024-06-03;30;3
EVT-0002;Feria Gastronómica Pacha CUSCO;CUSCO;Gastronomía;-13.486514;-71.895149;2024-10-30;2024-11-11;100;2
EVT-0003;Tour Promocional El Buen Sabor ICA;ICA;Aventura;-14.024774;-75.639765;2024-02-24;2024-03-05;30;2
EVT-0004;Fiesta Patronal Sol y Luna LIMA;LIMA;Cultura;-11.975616;-77.09066;2024-12-10;2024-12-17;50;1
EVT-0005;Fiesta Patronal Pacha CUSCO;CUSCO;Cultura;-13.453061;-71.907582;2024-07-11;2024-07-13;0;4
EVT-0006;Feria Gastronómica Pacha PUNO;PUNO;Gastronomía;-15.741869;-70.043099;2024-05-07;2024-05-16;0;3
EVT-0007;Descuento de Temporada - Hotel Sol y Luna ICA;ICA;Alojamiento;-14.024361;-75.657124;2024-12-10;2024-12-19;30;5
EVT-0008;Festival de Música Local El Buen Sabor CAJAMARCA;CAJAMARCA;Entretenimiento;-7.229641;-78.513289;2024-03-18;2024-03-24;30;5
EVT-0009;Descuento de Temporada - Hotel La Tradición ANCASH;ANCASH;Alojamiento;-9.457787;-77.569675;2024-02-07;2024-02-19;0;4
EVT-0010;Descuento de Temporada - Hotel Pacha LIMA;LIMA;Alojamiento;-12.077934;-77.083334;2024-01-13;2024-01-27;100;4
EVT-0011;Fiesta Patronal Andes ANCASH;ANCASH;Cultura;-9.46776;-77.49473;2024-09-11;2024-09-25;0;1
EVT-0012;Feria Gastronómica Pacha CUSCO;CUSCO;Gastronomía;-13.59621;-71.868287;2024-07-10;2024-07-24;100;3
EVT-0013;Tour Promocional La Tradición ICA;ICA;Aventura;-13.980043;-75.641147;2024-12-01;2024-12-12;50;5
EVT-0014;Feria Gastronómica Místico ICA;ICA;Gastronomía;-14.097749;-75.630336;2024-11-04;2024-11-19;30;2
EVT-0015;Festival de Música Local Sol y Luna PUNO;PUNO;Entretenimiento;-15.91708;-69.949133;2024-07-26;2024-08-05;30;2
EVT-0016;Fiesta Patronal La Tradición ICA;ICA;Cultura;-14.110413;-75.628921;2024-01-01;2024-01-15;0;2
EVT-0017;Descuento de Temporada - Hotel Místico PUNO;PUNO;Alojamiento;-15.796776;-69.973617;2024-01-16;2024-01-30;15;5
EVT-0018;Exhibición de Artesanía Aventura Extrema LIMA;LIMA;Cultura;-12.034771;-77.023909;2024-08-18;2024-08-19;100;3
EVT-0019;Festival de Música Local La Tradición ICA;ICA;Entretenimiento;-13.989282;-75.794329;2024-03-04;2024-03-15;0;3
EVT-0020;Feria Gastronómica La Tradición PIURA;PIURA;Gastronomía;-5.133721;-80.579349;2024-05-09;2024-05-23;30;3
EVT-0021;Feria Gastronómica Andes LIMA;LIMA;Gastronomía;-12.065301;-76.984582;2024-03-27;2024-04-08;0;4
EVT-0022;Fiesta Patronal El Buen Sabor LORETO;LORETO;Cultura;-3.75333;-73.193632;2024-05-14;2024-05-21;0;3
EVT-0023;Feria Gastronómica La Tradición LORETO;LORETO;Gastronomía;-3.742109;-73.314633;2024-02-15;2024-02-28;50;4
EVT-0024;Exhibición de Artesanía Pacha LIMA;LIMA;Cultura;-11.951537;-77.01204;2024-08-14;2024-08-15;0;4
EVT-0025;Festival de Música Local Sol y Luna PIURA;PIURA;Entretenimiento;-5.142307;-80.674147;2024-03-18;2024-03-30;0;5
