REGION;AÑO;MES;TEMPERATURA_MEDIA_C;PRECIPITACION_TOTAL_MM
AMAZONAS;2014;01;14.91;264.1
AMAZONAS;2014;02;14.9;366.8
AMAZONAS;2014;03;14.92;340.0
AMAZONAS;2014;04;15.11;179.8
AMAZONAS;2014;05;15.07;206.5
AMAZONAS;2014;06;14.87;93.2
AMAZONAS;2014;07;14.28;79.7
AMAZONAS;2014;08;14.46;60.8
AMAZONAS;2014;09;14.98;160.0
AMAZONAS;2014;10;15.2;187.7
AMAZONAS;2014;11;15.66;262.8
AMAZONAS;2014;12;15.04;261.0
AMAZONAS;2015;01;14.62;419.5
AMAZONAS;2015;02;15.25;190.7
AMAZONAS;2015;03;15.25;564.6
AMAZONAS;2015;04;15.02;273.2
AMAZONAS;2015;05;14.87;226.3
AMAZONAS;2015;06;14.47;74.4
AMAZONAS;2015;07;14.63;61.6
AMAZONAS;2015;08;15.58;57.7
AMAZONAS;2015;09;15.7;77.9
AMAZONAS;2015;10;15.72;168.8
AMAZONAS;2015;11;15.92;257.3
AMAZONAS;2015;12;15.49;266.1
AMAZONAS;2016;01;16.44;351.0
AMAZONAS;2016;02;16.06;426.6
AMAZONAS;2016;03;16.19;320.7
AMAZONAS;2016;04;15.97;199.8
AMAZONAS;2016;05;15.69;171.4
AMAZONAS;2016;06;14.49;115.7
AMAZONAS;2016;07;14.49;40.6
AMAZONAS;2016;08;15.12;77.1
AMAZONAS;2016;09;15.07;152.2
AMAZONAS;2016;10;15.54;280.1
AMAZONAS;2016;11;16.32;196.9
AMAZONAS;2016;12;15.12;387.9
AMAZONAS;2017;01;15.39;116.3
AMAZONAS;2017;02;15.8;130.2
AMAZONAS;2017;03;15.55;108.5
AMAZONAS;2017;04;15.41;44.1
AMAZONAS;2017;05;15.54;34.7
AMAZONAS;2017;06;14.91;18.6
AMAZONAS;2017;07;14.05;2.2
AMAZONAS;2017;08;15.32;25.8
AMAZONAS;2017;09;15.66;9.2
AMAZONAS;2017;10;16.05;63.5
AMAZONAS;2017;11;16.4;53.2
AMAZONAS;2017;12;16.0;50.5
AMAZONAS;2018;01;15.34;53.2
AMAZONAS;2018;02;15.87;60.2
AMAZONAS;2018;03;15.43;44.3
AMAZONAS;2018;04;14.87;73.6
AMAZONAS;2018;05;15.31;18.7
AMAZONAS;2018;06;14.04;10.8
AMAZONAS;2018;07;14.19;3.7
AMAZONAS;2018;08;14.46;7.4
AMAZONAS;2018;09;15.44;19.9
AMAZONAS;2018;10;15.81;74.0
AMAZONAS;2018;11;16.18;89.2
AMAZONAS;2018;12;15.26;60.1
AMAZONAS;2019;01;15.52;56.5
AMAZONAS;2019;02;15.71;113.4
AMAZONAS;2019;03;15.65;159.6
AMAZONAS;2019;04;15.63;38.7
AMAZONAS;2019;05;15.18;54.1
AMAZONAS;2019;06;14.55;12.6
AMAZONAS;2019;07;14.14;18.8
AMAZONAS;2019;08;14.19;8.2
AMAZONAS;2019;09;15.47;19.7
AMAZONAS;2019;10;15.06;56.5
AMAZONAS;2019;11;16.11;62.1
AMAZONAS;2019;12;16.0;58.5
