POLO;MES;mes_nombre;precip_mm;temp_c;frac_lluvias;veredicto;puesto_mes
0;1.0;enero;131.92;19.23;1.0;advertencia;12.0
0;2.0;febrero;125.24;19.32;1.0;advertencia;11.0
0;3.0;marzo;116.54;19.27;1.0;advertencia;10.0
0;4.0;abril;57.95;19.24;0.0;viable;6.0
0;5.0;mayo;50.2;18.95;0.0;viable;5.0
0;6.0;junio;23.56;18.36;0.0;viable;2.0
0;7.0;julio;20.38;18.26;0.0;viable;1.0
0;8.0;agosto;24.42;18.63;0.0;viable;3.0
0;9.0;setiembre;28.75;19.42;0.0;viable;4.0
0;10.0;octubre;67.39;19.74;0.0;viable;7.0
0;11.0;noviembre;69.89;19.91;0.0;viable;8.0
0;12.0;diciembre;107.49;19.57;0.0;viable;9.0
1;1.0;enero;17.57;26.62;0.0;viable;8.0
1;2.0;febrero;54.2;27.49;1.0;advertencia;10.0
1;3.0;marzo;149.83;27.34;1.0;advertencia;12.0
1;4.0;abril;61.99;26.38;1.0;advertencia;11.0
1;5.0;mayo;13.21;25.02;0.0;viable;7.0
1;6.0;junio;2.52;23.35;0.0;viable;4.0
1;7.0;julio;0.71;22.34;0.0;viable;2.0
1;8.0;agosto;1.58;21.92;0.0;viable;3.0
1;9.0;setiembre;0.49;22.24;0.0;viable;1.0
1;10.0;octubre;5.64;22.62;0.0;viable;5.0
1;11.0;noviembre;10.35;22.94;0.0;viable;6.0
1;12.0;diciembre;19.71;24.9;0.0;viable;9.0
2;1.0;enero;220.09;13.46;1.0;desaconsejado;10.0
2;2.0;febrero;253.13;13.62;1.0;desaconsejado;11.0
2;3.0;marzo;291.43;13.5;1.0;desaconsejado;12.0
2;4.0;abril;182.77;13.76;0.0;advertencia;8.0
2;5.0;mayo;98.32;13.74;0.0;viable;5.0
2;6.0;junio;22.35;13.64;0.0;viable;3.0
2;7.0;julio;11.09;14.19;0.0;viable;1.0
2;8.0;agosto;16.82;14.67;0.0;viable;2.0
2;9.0;setiembre;85.19;14.43;0.0;viable;4.0
2;10.0;octubre;138.85;13.89;0.0;viable;7.0
2;11.0;noviembre;108.97;13.92;0.0;viable;6.0
2;12.0;diciembre;198.96;13.71;0.0;advertencia;9.0
3;1.0;enero;181.72;16.31;1.0;desaconsejado;12.0
3;2.0;febrero;155.03;16.41;1.0;desaconsejado;11.0
3;3.0;marzo;141.73;16.2;0.85;advertencia;9.0
3;4.0;abril;63.47;16.01;0.0;viable;6.0
3;5.0;mayo;26.2;15.58;0.0;viable;4.0
3;6.0;junio;11.99;15.06;0.0;viable;1.0
3;7.0;julio;12.84;15.08;0.0;viable;2.0
3;8.0;agosto;17.73;15.64;0.0;viable;3.0
3;9.0;setiembre;39.98;16.45;0.0;viable;5.0
3;10.0;octubre;76.6;16.96;0.0;viable;7.0
3;11.0;noviembre;89.49;17.39;0.0;viable;8.0
3;12.0;diciembre;143.91;16.87;0.15;viable;10.0
4;1.0;enero;227.76;11.24;1.0;desaconsejado;12.0
4;2.0;febrero;202.16;11.41;1.0;desaconsejado;11.0
4;3.0;marzo;154.21;11.25;0.0;advertencia;9.0
4;4.0;abril;75.9;10.95;0.0;viable;6.0
4;5.0;mayo;35.63;10.58;0.0;viable;4.0
4;6.0;junio;8.11;10.16;0.0;viable;1.0
4;7.0;julio;12.11;10.12;0.0;viable;2.0
4;8.0;agosto;22.26;10.51;0.0;viable;3.0
4;9.0;setiembre;37.18;11.31;0.0;viable;5.0
4;10.0;octubre;83.98;11.89;0.0;viable;7.0
4;11.0;noviembre;124.88;12.21;0.0;viable;8.0
4;12.0;diciembre;193.26;11.84;1.0;desaconsejado;10.0
5;1.0;enero;14.49;22.04;0.0;viable;10.0
5;2.0;febrero;16.19;22.97;0.0;viable;11.0
5;3.0;marzo;24.81;22.76;0.0;viable;12.0
5;4.0;abril;3.62;21.21;0.0;viable;8.0
5;5.0;mayo;0.82;19.28;0.0;viable;4.0
5;6.0;junio;0.73;17.77;0.0;viable;3.0
5;7.0;julio;0.59;16.92;0.0;viable;2.0
5;8.0;agosto;0.48;16.58;0.0;viable;1.0
5;9.0;setiembre;1.52;16.84;0.0;viable;5.0
5;10.0;octubre;2.54;17.41;0.0;viable;7.0
5;11.0;noviembre;1.59;18.55;0.0;viable;6.0
5;12.0;diciembre;7.6;20.34;0.0;viable;9.0
6;1.0;enero;59.77;25.96;0.0;viable;9.0
6;2.0;febrero;124.98;26.5;1.0;advertencia;11.0
6;3.0;marzo;191.53;26.36;1.0;desaconsejado;12.0
6;4.0;abril;107.87;25.93;1.0;advertencia;10.0
6;5.0;mayo;38.15;25.13;0.0;viable;8.0
6;6.0;junio;6.04;24.0;0.0;viable;4.0
6;7.0;julio;2.7;23.21;0.0;viable;2.0
6;8.0;agosto;3.32;22.64;0.0;viable;3.0
6;9.0;setiembre;1.96;22.93;0.0;viable;1.0
6;10.0;octubre;7.54;23.19;0.0;viable;5.0
6;11.0;noviembre;11.84;23.35;0.0;viable;6.0
6;12.0;diciembre;29.64;24.91;0.0;viable;7.0
7;1.0;enero;155.6;15.44;1.0;desaconsejado;10.0
7;2.0;febrero;166.46;15.64;1.0;desaconsejado;11.0
7;3.0;marzo;201.37;15.5;1.0;desaconsejado;12.0
7;4.0;abril;103.03;15.3;0.0;viable;6.0
7;5.0;mayo;81.84;15.29;0.0;viable;5.0
7;6.0;junio;39.98;14.64;0.0;viable;3.0
7;7.0;julio;25.31;14.51;0.0;viable;1.0
7;8.0;agosto;30.41;15.03;0.0;viable;2.0
7;9.0;setiembre;54.87;15.49;0.0;viable;4.0
7;10.0;octubre;106.93;15.7;0.0;viable;7.0
7;11.0;noviembre;114.92;16.16;0.0;viable;8.0
7;12.0;diciembre;145.91;15.68;0.0;viable;9.0
8;1.0;enero;205.25;13.92;1.0;desaconsejado;11.0
8;2.0;febrero;191.81;14.11;1.0;desaconsejado;10.0
8;3.0;marzo;244.85;13.93;1.0;desaconsejado;12.0
8;4.0;abril;134.49;14.05;0.0;viable;7.0
8;5.0;mayo;61.33;13.88;0.0;viable;4.0
8;6.0;junio;22.81;13.76;0.0;viable;2.0
8;7.0;julio;21.07;13.99;0.0;viable;1.0
8;8.0;agosto;34.29;14.35;0.0;viable;3.0
8;9.0;setiembre;89.1;14.5;0.0;viable;5.0
8;10.0;octubre;150.47;14.19;0.0;advertencia;8.0
8;11.0;noviembre;131.21;14.31;0.0;viable;6.0
8;12.0;diciembre;188.56;14.1;0.0;advertencia;9.0
9;1.0;enero;187.18;5.41;1.0;desaconsejado;12.0
9;2.0;febrero;183.78;5.74;0.125;advertencia;11.0
9;3.0;marzo;182.34;5.58;1.0;desaconsejado;9.0
9;4.0;abril;102.05;5.28;0.0;viable;6.0
9;5.0;mayo;67.93;4.93;0.0;viable;4.0
9;6.0;junio;20.35;4.18;0.0;viable;1.0
9;7.0;julio;20.36;3.97;0.0;viable;2.0
9;8.0;agosto;34.8;4.38;0.0;viable;3.0
9;9.0;setiembre;85.45;4.94;0.0;viable;5.0
9;10.0;octubre;127.44;5.37;0.0;viable;7.0
9;11.0;noviembre;136.65;5.77;0.0;viable;8.0
9;12.0;diciembre;182.48;5.74;0.875;desaconsejado;10.0
10;1.0;enero;139.73;15.16;1.0;advertencia;12.0
10;2.0;febrero;120.08;15.13;1.0;advertencia;10.0
10;3.0;marzo;121.38;14.92;1.0;advertencia;11.0
10;4.0;abril;44.62;15.11;0.0;viable;6.0
10;5.0;mayo;23.65;14.84;0.0;viable;4.0
10;6.0;junio;4.24;14.37;0.0;viable;1.0
10;7.0;julio;8.46;14.29;0.0;viable;2.0
10;8.0;agosto;12.42;14.87;0.0;viable;3.0
10;9.0;setiembre;27.69;15.82;0.0;viable;5.0
10;10.0;octubre;56.51;16.23;0.0;viable;7.0
10;11.0;noviembre;66.95;16.67;0.0;viable;8.0
10;12.0;diciembre;95.81;15.95;0.0;viable;9.0
11;1.0;enero;232.63;9.57;1.0;desaconsejado;12.0
11;2.0;febrero;201.54;9.66;1.0;desaconsejado;11.0
11;3.0;marzo;156.47;9.5;0.0;advertencia;9.0
11;4.0;abril;82.89;8.83;0.0;viable;7.0
11;5.0;mayo;23.28;8.14;0.0;viable;4.0
11;6.0;junio;7.01;7.79;0.0;viable;1.0
11;7.0;julio;10.33;7.81;0.0;viable;2.0
11;8.0;agosto;19.2;8.42;0.0;viable;3.0
11;9.0;setiembre;51.02;9.22;0.0;viable;5.0
11;10.0;octubre;70.45;9.88;0.0;viable;6.0
11;11.0;noviembre;89.74;10.87;0.0;viable;8.0
11;12.0;diciembre;168.91;10.13;1.0;desaconsejado;10.0
12;1.0;enero;232.63;9.57;1.0;desaconsejado;12.0
12;2.0;febrero;201.54;9.66;1.0;desaconsejado;11.0
12;3.0;marzo;156.47;9.5;0.0;advertencia;9.0
12;4.0;abril;82.89;8.83;0.0;viable;7.0
12;5.0;mayo;23.28;8.14;0.0;viable;4.0
12;6.0;junio;7.01;7.79;0.0;viable;1.0
12;7.0;julio;10.33;7.81;0.0;viable;2.0
12;8.0;agosto;19.2;8.42;0.0;viable;3.0
12;9.0;setiembre;51.02;9.22;0.0;viable;5.0
12;10.0;octubre;70.45;9.88;0.0;viable;6.0
12;11.0;noviembre;89.74;10.87;0.0;viable;8.0
12;12.0;diciembre;168.91;10.13;1.0;desaconsejado;10.0
13;1.0;enero;137.38;15.37;1.0;advertencia;12.0
13;2.0;febrero;116.98;15.32;1.0;advertencia;10.0
13;3.0;marzo;119.11;15.12;1.0;advertencia;11.0
13;4.0;abril;43.12;15.33;0.0;viable;6.0
13;5.0;mayo;22.51;15.07;0.0;viable;4.0
13;6.0;junio;3.84;14.6;0.0;viable;1.0
13;7.0;julio;8.01;14.53;0.0;viable;2.0
13;8.0;agosto;11.68;15.12;0.0;viable;3.0
13;9.0;setiembre;25.63;16.07;0.0;viable;5.0
13;10.0;octubre;54.4;16.48;0.0;viable;7.0
13;11.0;noviembre;64.77;16.91;0.0;viable;8.0
13;12.0;diciembre;92.79;16.18;0.0;viable;9.0
14;1.0;enero;216.79;13.14;1.0;desaconsejado;11.0
14;2.0;febrero;202.39;13.35;1.0;desaconsejado;10.0
14;3.0;marzo;264.69;13.15;1.0;desaconsejado;12.0
14;4.0;abril;146.57;13.29;0.0;viable;7.0
14;5.0;mayo;63.37;13.14;0.0;viable;4.0
14;6.0;junio;22.91;13.1;0.0;viable;2.0
14;7.0;julio;21.35;13.38;0.0;viable;1.0
14;8.0;agosto;35.94;13.74;0.0;viable;3.0
14;9.0;setiembre;98.38;13.79;0.0;viable;5.0
14;10.0;octubre;163.28;13.39;0.0;advertencia;8.0
14;11.0;noviembre;140.97;13.5;0.0;viable;6.0
14;12.0;diciembre;201.24;13.3;0.0;advertencia;9.0
15;1.0;enero;128.29;19.08;1.0;advertencia;12.0
15;2.0;febrero;121.31;19.17;1.0;advertencia;11.0
15;3.0;marzo;112.56;19.12;1.0;advertencia;10.0
15;4.0;abril;53.97;19.09;0.0;viable;6.0
15;5.0;mayo;47.76;18.8;0.0;viable;5.0
15;6.0;junio;22.17;18.2;0.0;viable;2.0
15;7.0;julio;19.21;18.09;0.0;viable;1.0
15;8.0;agosto;23.31;18.45;0.0;viable;3.0
15;9.0;setiembre;27.24;19.25;0.0;viable;4.0
15;10.0;octubre;65.04;19.58;0.0;viable;7.0
15;11.0;noviembre;66.14;19.76;0.0;viable;8.0
15;12.0;diciembre;104.02;19.42;0.0;viable;9.0
16;1.0;enero;232.63;9.57;1.0;desaconsejado;12.0
16;2.0;febrero;201.54;9.66;1.0;desaconsejado;11.0
16;3.0;marzo;156.47;9.5;0.0;advertencia;9.0
16;4.0;abril;82.89;8.83;0.0;viable;7.0
16;5.0;mayo;23.28;8.14;0.0;viable;4.0
16;6.0;junio;7.01;7.79;0.0;viable;1.0
16;7.0;julio;10.33;7.81;0.0;viable;2.0
16;8.0;agosto;19.2;8.42;0.0;viable;3.0
16;9.0;setiembre;51.02;9.22;0.0;viable;5.0
16;10.0;octubre;70.45;9.88;0.0;viable;6.0
16;11.0;noviembre;89.74;10.87;0.0;viable;8.0
16;12.0;diciembre;168.91;10.13;1.0;desaconsejado;10.0
17;1.0;enero;150.66;16.04;1.0;desaconsejado;12.0
17;2.0;febrero;127.88;16.05;1.0;advertencia;11.0
17;3.0;marzo;126.6;15.83;1.0;advertencia;10.0
17;4.0;abril;49.78;15.9;0.0;viable;6.0
17;5.0;mayo;23.25;15.58;0.0;viable;4.0
17;6.0;junio;7.08;15.09;0.0;viable;1.0
17;7.0;julio;9.83;15.05;0.0;viable;2.0
17;8.0;agosto;13.6;15.64;0.0;viable;3.0
17;9.0;setiembre;31.08;16.54;0.0;viable;5.0
17;10.0;octubre;62.06;16.98;0.0;viable;7.0
17;11.0;noviembre;71.54;17.42;0.0;viable;8.0
17;12.0;diciembre;108.34;16.75;0.0;viable;9.0
18;1.0;enero;180.16;16.48;1.0;desaconsejado;12.0
18;2.0;febrero;153.43;16.58;1.0;desaconsejado;11.0
18;3.0;marzo;141.31;16.36;0.8787878787878788;advertencia;9.0
18;4.0;abril;63.05;16.18;0.0;viable;6.0
18;5.0;mayo;25.88;15.75;0.0;viable;4.0
18;6.0;junio;12.12;15.23;0.0;viable;1.0
18;7.0;julio;12.87;15.24;0.0;viable;2.0
18;8.0;agosto;17.58;15.81;0.0;viable;3.0
18;9.0;setiembre;40.08;16.63;0.0;viable;5.0
18;10.0;octubre;76.35;17.13;0.0;viable;7.0
18;11.0;noviembre;88.29;17.57;0.0;viable;8.0
18;12.0;diciembre;142.24;17.04;0.12121212121212122;viable;10.0
19;1.0;enero;95.16;18.95;0.36666666666666664;viable;10.0
19;2.0;febrero;109.65;19.74;0.36666666666666664;viable;11.0
19;3.0;marzo;135.71;19.76;0.36666666666666664;viable;12.0
19;4.0;abril;78.36;18.9;0.0;viable;8.0
19;5.0;mayo;38.22;18.16;0.0;viable;5.0
19;6.0;junio;8.82;17.39;0.0;viable;3.0
19;7.0;julio;4.22;17.07;0.0;viable;1.0
19;8.0;agosto;6.47;16.93;0.0;viable;2.0
19;9.0;setiembre;32.29;16.84;0.0;viable;4.0
19;10.0;octubre;55.71;16.76;0.0;viable;7.0
19;11.0;noviembre;41.48;17.27;0.0;viable;6.0
19;12.0;diciembre;81.77;18.22;0.0;viable;9.0
20;1.0;enero;18.44;20.55;0.0;viable;11.0
20;2.0;febrero;19.52;21.17;0.0;viable;12.0
20;3.0;marzo;13.77;20.58;0.0;viable;10.0
20;4.0;abril;1.5;18.58;0.0;viable;4.0
20;5.0;mayo;1.34;16.73;0.0;viable;2.0
20;6.0;junio;2.29;15.18;0.0;viable;6.0
20;7.0;julio;2.64;14.45;0.0;viable;7.0
20;8.0;agosto;2.83;14.57;0.0;viable;8.0
20;9.0;setiembre;1.44;15.1;0.0;viable;3.0
20;10.0;octubre;1.12;16.1;0.0;viable;1.0
20;11.0;noviembre;1.56;17.41;0.0;viable;5.0
20;12.0;diciembre;7.01;19.09;0.0;viable;9.0
21;1.0;enero;141.22;24.58;0.0;viable;6.0
