POLO;n;base;par_jer;par_vec;par_2opt;km_jer;km_vec;km_2opt
0;44;41;11;16;16;169.80350524305203;111.33804610649022;110.03554465337663
1;28;7;0;11;11;0.0;228.67975840193284;228.67975840193284
2;15;3;7;10;10;363.4584121478808;326.80074387649717;326.1740294271201
3;20;7;0;11;11;0.0;341.65120230958405;338.87320881162276
4;17;4;7;14;14;79.8107279816175;107.71588569814429;107.72169176462407
5;19;7;1;10;10;96.30220617532026;241.57214437635824;241.5490882347736
6;22;14;7;11;11;251.84088850738357;199.6544829031207;199.6544829031207
7;21;13;13;15;15;371.66928955149706;249.56495672058583;248.44927037984502
8;23;14;8;14;14;191.48599015209987;226.86056593614023;226.64091513758103
9;8;1;0;6;6;0.0;11.498936007052958;11.497737492457517
10;31;27;7;13;13;521.06567160358;218.704946135154;218.704946135154
11;49;26;11;22;22;310.9105569630174;65.89254785270607;65.55408240676556
12;7;4;1;5;5;62.89940145848969;318.1248710118811;318.1248710118811
13;20;19;8;10;10;226.0934732413196;253.64836642840942;253.64836642840942
14;26;12;6;8;8;412.38486245680485;231.12641047860825;231.12641047860825
15;15;3;3;12;12;119.95290582466207;337.7499343132308;337.83626020130566
16;11;7;9;8;8;341.726947204902;242.73158868723658;242.73158868723658
17;30;3;8;12;12;163.7139466052662;217.8169618104725;217.80593082498797
18;33;26;6;8;8;410.10307743187366;337.5510708472455;337.5510708472455
19;30;15;10;14;14;231.79709478049108;148.09528088672386;147.8265439654365
20;11;1;6;7;7;152.11953186662794;161.98181594682848;161.98181594682848
21;38;34;10;14;14;252.72942586968827;123.54766032604118;121.96545094917843
22;36;31;7;16;16;317.06765662332083;143.95590009690093;143.6839828174245
23;17;0;4;14;14;45.740351643516405;110.2577625269675;110.23678553528103
24;20;18;11;11;11;287.1978798032644;222.1154746535765;222.1154746535765
25;56;50;8;21;21;349.397171212112;73.64754751826543;73.0863729004724
26;30;2;7;14;14;255.15729374173853;129.81767948860087;129.8770997388607
27;24;13;10;16;16;356.16163190441097;179.50101262538442;178.79620824814953
28;34;9;9;12;12;183.15260508085683;161.60243112655124;161.60243112655124
29;12;0;2;4;4;241.54339321714767;436.8763591987656;436.8763591987656
30;40;18;10;22;22;348.91987898564696;131.85498069987176;131.11878261100907
31;231;22;17;26;26;233.4613081375785;54.98540600127128;54.15737573773724
32;24;19;10;12;12;387.5837378647868;282.1046290827352;281.4247961409203
33;137;5;18;20;20;257.6202983765194;61.90569790958166;61.90569790958166
34;13;11;4;9;9;359.31367791255667;390.69961137903255;390.69961137903255
36;94;4;15;24;24;265.57717381621603;10.25846383249273;9.809067730989923
37;27;8;2;9;9;10.711790130764607;319.973581591805;319.973581591805
38;31;0;9;15;15;511.24447359714924;230.44421493674275;230.44421493674275
39;7;5;3;5;5;143.52467396008112;271.28729231774196;271.28729231774196
40;17;1;4;11;11;218.27491718859986;188.78805096097878;188.93998732075795
41;14;6;6;9;9;316.0823552868112;200.1566129671682;200.1566129671682
42;23;16;8;13;13;224.31357465444165;229.80408200738384;229.80408200738384
43;37;22;6;10;10;285.2432253009982;187.06180072615976;187.06180072615976
45;10;9;1;5;5;112.46788626630412;189.88438474040322;189.88438474040322
46;48;1;3;15;15;136.5387414336677;182.39217539945236;179.7015414430653
47;13;12;2;10;10;3.1879118074649484;194.65614688231193;194.60200284302306
48;15;2;7;9;9;211.36725669930107;139.12390371740594;139.12390371740594
49;5;2;2;3;3;66.72418227371975;138.5504567477542;138.5504567477542
50;33;27;17;23;23;277.66986785666097;72.23856267014096;71.9118117546511
51;11;7;2;8;8;22.877949547579433;265.8737270854978;267.60067961643455
52;24;19;0;13;13;0.0;179.80043084040497;179.3992687651283
53;13;5;1;9;9;78.26577353934898;412.82055103947096;412.82055103947096
54;36;0;13;17;17;204.50283824771273;25.97698144746819;24.709812861430464
55;53;8;23;29;29;75.58976245459353;16.48202166918581;16.169325725144933
56;18;17;7;13;13;293.48006857616167;292.24505066805216;292.4957551218074
59;51;4;12;17;17;366.41295611943644;212.75752537686418;212.77944976275433
60;25;15;10;17;17;206.38445523178828;228.93109617818325;228.9379756449764
61;12;8;8;10;10;300.32521300753115;315.6467025829638;315.2287244015117
62;21;15;10;14;14;341.963485679832;153.1235652806085;151.89400224682686
63;15;14;7;10;10;227.90906480937056;219.96274399767765;219.96274399767765
65;13;6;6;9;9;406.26191477481774;362.4344623288533;362.4344623288533
66;11;3;7;9;9;186.89791254687992;165.1031338396258;165.1096857566523
67;8;6;7;7;7;81.86109030945896;78.13911605790122;78.13911605790122
68;26;0;13;17;17;148.6414153583887;169.1253195731967;168.70082164019553
69;16;3;10;12;12;221.15089617762374;160.98784222881892;160.98928382617157
70;44;41;7;20;20;374.55728889604967;58.230034687709136;57.81968678931355
71;42;6;11;22;22;188.92601068728072;98.30460372172841;94.50945963062887
72;17;12;11;13;13;318.4765731299973;187.87533820396058;187.87533820396058
73;5;4;4;4;4;185.03731766941075;159.62171741127614;159.62171741127614
74;8;3;6;7;7;333.54067842577246;334.24182510640924;334.24182510640924
75;18;13;8;12;12;132.6215507489419;164.57448099183665;164.57448099183665
77;8;4;7;7;7;159.67689316337672;157.00118126397282;157.00118126397282
78;7;2;6;6;6;222.82272383955907;227.86918759131012;227.86918759131012
79;28;25;10;20;20;151.214268178083;89.4245294413051;88.92813009673348
82;11;9;0;6;6;0.0;199.33588990738258;199.33588990738258
83;30;5;8;11;11;354.1477541341248;266.3792174078666;266.3792174078666
84;16;4;8;10;10;231.1105566964765;187.57688053023645;187.57688053023645
85;25;15;2;12;12;120.38344531566563;263.94580371142524;263.91968952503254
86;58;22;13;18;18;318.87791382169837;28.86592630791609;28.86592630791609
87;6;5;5;5;5;266.7316803542214;266.7316803542214;266.7316803542214
88;14;13;7;9;9;337.53874885726555;337.1207350785822;337.1207350785822
89;8;6;1;5;5;105.57932737704431;180.8245256261036;180.8245256261036
90;11;3;6;8;8;291.62668198627205;306.15933679259564;306.15933679259564
91;10;9;3;4;4;167.007060780585;200.96630129348978;200.96630129348978
92;19;10;0;13;13;0.0;180.35667070070878;177.9950598458536
93;14;0;9;10;10;422.19585760309167;238.25568719209014;238.25568719209014
94;34;9;6;15;15;272.5821965831981;209.69909161103672;209.43830023478847
95;8;7;6;6;6;247.8573486898988;183.90244756948877;183.90244756948877
96;51;2;9;17;17;115.85472969950547;9.008615533883903;8.432501429063965
97;13;0;11;12;12;82.42049817528797;67.91880353736488;67.55880442306236
98;74;59;15;13;13;396.57127806439877;252.44291825929892;252.44291825929892
99;97;5;16;21;21;347.91720677495596;114.3335900631804;113.48121535929859
100;15;3;9;10;10;247.4572241843564;168.37954370783484;168.37954370783484
101;7;4;0;4;4;0.0;82.14994320065932;82.14994320065932
102;9;2;8;8;8;188.36982078443776;188.6894723445062;188.6894723445062
103;7;1;6;6;6;413.3948650752675;413.39486507526755;413.39486507526755
104;32;12;14;17;17;255.77649249229395;130.39548584184203;130.38124774686403
105;38;25;10;20;20;345.3307631820007;181.0571614342932;181.01678020637485
106;22;14;8;14;14;327.3903861338729;90.14995630403382;89.97215294032748
107;6;5;5;5;5;103.31244366019595;136.6364437978063;136.6364437978063
108;14;4;10;11;11;228.29526439044758;186.12826894081144;186.12826894081144
109;13;0;12;12;12;258.89098873188124;233.15316847530553;233.0351152970882
110;16;15;8;11;11;294.38158662166325;238.76298952267905;238.76298952267905
111;23;20;12;16;16;209.07646184029235;114.98081530295727;114.98081530295727
112;6;0;1;2;2;75.38985560058225;152.0617746232196;152.0617746232196
113;12;9;11;11;11;116.6328413240339;104.68837439595066;104.33931833653293
114;13;9;8;10;10;404.459712520855;392.42942874418713;392.42942874418713
115;45;1;21;26;26;68.84125203821165;36.35552320958452;35.52698287927011
116;13;9;6;7;7;307.15219272342745;221.40116202332894;221.40116202332894
117;29;10;12;16;16;196.91800252100856;105.73622438249117;105.73622438249117
120;12;1;8;9;9;512.9744426739405;476.68614074226116;476.75042362179465
121;42;25;10;17;17;304.5481839207471;99.0185412514602;98.74790393619661
122;16;5;7;9;9;338.7582792175057;273.19639087360036;273.19639087360036
123;7;6;5;5;5;200.6506259286727;187.39228723353932;187.39228723353932
124;7;0;6;6;6;349.5474901337522;349.5474901337522;349.5474901337522
125;35;7;15;21;21;352.8346855687984;83.3568379908486;81.94640179908467
126;14;4;7;8;8;446.9822854917643;425.6162687138661;425.6162687138661
128;22;0;8;10;10;449.0861221282179;246.56656242196908;246.56656242196908
129;10;1;8;9;9;304.29177142491517;268.3819867695474;268.3819867695474
131;12;9;7;8;8;350.3574160665327;233.1346429155692;233.1346429155692
132;7;5;6;6;6;106.46960192397545;106.63549330488561;106.63549330488561
133;18;1;8;13;13;304.6410761514423;114.76734608974037;114.76734608974037
134;7;0;6;6;6;116.06504163443792;117.2956915871768;117.2956915871768
135;13;11;12;12;12;298.77418191536566;295.60629021966196;295.60629021966196
136;12;4;11;11;11;116.55950608345023;109.70024673723006;109.70024673723006
137;35;10;4;12;12;233.68853394989733;191.13285712990626;191.13285712990626
138;17;9;9;10;10;268.4407078169541;257.8702447006867;257.64008437160226
139;46;4;17;21;21;186.9683507263615;24.77164751198476;24.08375482308461
140;34;1;14;19;19;385.4951870336988;96.37717273231462;98.51802945889318
141;12;8;1;8;8;64.15137465090989;457.4510290934852;457.4510290934852
142;5;2;4;4;4;237.0134951369543;237.0134951369543;237.0134951369543
146;11;3;0;9;9;0.0;261.3839195197406;261.3839195197406
147;5;1;4;4;4;74.47689688762685;74.47689688762685;74.47689688762685
148;9;1;8;8;8;241.51222460238776;231.4475469186682;231.4475469186682
149;42;0;20;26;26;113.1329700077826;32.59627240583298;32.23980623402119
150;70;9;14;27;27;266.7015250424457;22.041598429188944;21.548452072513342
151;58;54;0;14;14;0.0;225.05344133438922;225.05344133438922
152;8;3;1;3;3;14.325147201248315;207.14627994533166;207.14627994533166
153;10;8;4;8;8;137.49913274315355;207.53782133008917;207.53782133008917
157;8;0;7;7;7;215.17042503921525;211.3091300796275;211.3091300796275
158;22;7;9;12;12;160.3266788886774;177.9745515147859;177.9745515147859
160;5;4;3;3;3;55.46742314080355;55.46742314080355;55.46742314080355
161;28;24;18;20;20;215.49289846545054;145.2408124313169;145.04944303385838
162;7;6;6;6;6;283.60686154578343;254.39897452714393;254.39897452714393
