CODIGO;URL;HTTP;FICHA_JERARQUIA_TXT;FICHA_JERARQUIA_NUM;FICHA_ALTITUD_M;FICHA_TOPONIMIA;INGRESO_TIPO;INGRESO_OBS;TARIFA_SOLES;EPOCA_PROPICIA;EPOCA_ESPECIFICACION;HORA_VISITA;N_ACTIVIDADES;ACTIVIDADES;N_TRAMOS;ACCESO_KM;ACCESO_MIN;ACCESO_MEDIOS;ACCESO_VIAS;VISITANTES_NAC;VISITANTES_EXT;VISITANTES_LOC;VISITANTES_ANIO;N_SERV_ALOJAMIENTO;N_SERV_ALIMENTACION;TABLAS_RECONOCIDAS
11;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11;200;No aplica;;3399;;Libre;;;;;;5;Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales | Otros>Actividades Sociales | Otros>Estudios e Investigación | Cultura y Folclore>Apreciación de muestras o actividades artísticas(danza, teatro,canto, pintura, escultura, etc.);;;;;;;;;;;;actividades|cabecera|ingreso
16;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=16;200;1;1;475;;Libre;;;Todo el Año;--;"07:00 a.m.
                                -
                                04:30 p.m. --";3;Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación | Deportes / Aventura>Caminata/Trekking;2;131.0;30;A pie | Bus público;Asfaltado;180;35;250;2023;1;2;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
17;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=17;200;2;2;2671;;Libre;El recurso se encuentra junto a la carretera que conduce al mirador Yurac Urco y no existe boletería o control alguno;;Todo el Año;--;"06:00 a.m.
                                -
                                05:30 p.m. Se considera ese horario para ";2;Otros>Toma de fotografías y filmaciones | Naturaleza>Observación de paisaje;3;22.0;75;A pie | Automóvil particular;Afirmado;70;46;;2024;1;1;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
22;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=22;200;POR JERARQUIZAR;;3859;Laguna cuyo nombre en quechua quiere decir laguna azul (lauri=azul y cocha=laguna);Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc);Compra de boleto para acceso a tres atractivos turísticos. Entrada general: S/5.00;5.0;Todo el Año;--;"08:00 a.m.
                                -
                                05:00 p.m. Se recomienda usar zapatos imp";10;Otros>Compras de artesanía/souvenir | Otros>Toma de fotografías y filmaciones | Deportes acuáticos>Natación | Deportes acuáticos>Pesca deportiva | Deportes / Aventura>Camping | Cultura y Folclore>Degustación y preparación de platos, productos o bebidas típicas | Cultura y Folclore>Ferias | Paseos>Paseos en bote | Cultura y Folclore>Apreciación de muestras o actividades artísticas(danza, teatro,canto, pintura, escultura, etc.) | Otros>Compra de productos regionales;4;63.7;138;A pie | Camioneta doble tracción;Afirmado | Asfaltado | Sendero;180;;450;2024;1;6;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
24;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=24;200;2;2;6635;"El Yerupajá, que en quechua significa blanco amanecer (Yuraq, blanco; Pajaj amanecer)";Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc);Se paga el ingreso al pueblo de Queropalca, S/. 40.00 Extranjeros y S/. 30.00 Nacionales. Monto único para visitar los recursos que se encuentran dentro de la reserva.;40.0;Todo el Año;--;"05:00 a.m.
                                -
                                05:00 p.m. Recomendable ir en temporada d";6;Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación | Naturaleza>Observación de paisaje | Deportes / Aventura>Caminata/Trekking | Deportes / Aventura>Camping | Deportes / Aventura>Montañismo;4;93.9;110;A caballo | A pie | Automóvil particular;Afirmado | Camino de Herradura | Sendero;780;5595;;2023;1;6;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
25;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=25;200;3;3;6635;"""Huayhuash significa corto"" en el idioma Quechua";Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc);El ingreso al recurso se paga en Queropalca con tarifa única de S/40, mientras que el acceso al campamento cuesta S/25 para nacionales y S/30 para extranjeros, pago en la comunidad de Quishuarcancha.;40.0;Todo el Año;--;"05:00 a.m.
                                -
                                05:00 p.m. Recomendable ir en
temporada d";7;Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación | Naturaleza>Observación de fauna | Naturaleza>Observación de flora | Naturaleza>Observación de paisaje | Deportes / Aventura>Caminata/Trekking | Deportes / Aventura>Camping;5;96.8;574;A pie | Automóvil particular | Mini bus público;Afirmado | Camino de Herradura | Sendero;780;5595;;2024;3;5;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
29;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=29;200;1;1;3480;;Libre;;;Todo el Año;--;"07:00 a.m.
                                -
                                05:00 p.m. --";4;Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación | Naturaleza>Observación de flora | Deportes / Aventura>Caminata/Trekking;2;15.26;26;A pie | Taxi;Asfaltado | Camino de Herradura;3;;217;2021;2;3;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
30;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=30;200;POR JERARQUIZAR;;3462;;Libre;;;Todo el Año;--;"08:00 a.m.
                                -
                                05:00 p.m. --";5;Otros>Compras de artesanía/souvenir | Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación | Naturaleza>Observación de paisaje | Deportes / Aventura>Caminata/Trekking;2;46.9;50;A pie | Combi;Asfaltado | Camino de Herradura;207;2;486;2021;2;3;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
31;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=31;200;2;2;1600;Proviene del vocablo quechua que significa: Pacha - tierra y  Chaca - Puente;Libre;;;Todo el Año;--;"06:00 a.m.
                                -
                                06:00 p.m. Enero-Diciembre";3;Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación | Naturaleza>Observación de paisaje;1;16.0;25;Taxi;Asfaltado;324;52;5539;2021;4;4;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
32;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=32;200;1;1;2684;;Libre;;;Todo el Año;--;"06:00 a.m.
                                -
                                06:00 p.m. --";2;Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales;2;69.5;40;A pie | Taxi;Asfaltado;270;90;3510;2024;3;2;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
