REGION;AÑO;MES;TEMPERATURA_MEDIA_C;PRECIPITACION_TOTAL_MM;NIVEL_RIESGO_CLIMATICO;SENSACION_TERMICA
AMAZONAS;2014;01;14.91;264.1;3_Peligro;Templado
AMAZONAS;2014;02;14.9;366.8;3_Peligro;Templado
AMAZONAS;2014;03;14.92;340.0;3_Peligro;Templado
AMAZONAS;2014;04;15.11;179.8;3_Peligro;Templado
AMAZONAS;2014;05;15.07;206.5;3_Peligro;Templado
AMAZONAS;2014;06;14.87;93.2;2_Precaucion;Templado
AMAZONAS;2014;07;14.28;79.7;2_Precaucion;Templado
AMAZONAS;2014;08;14.46;60.8;2_Precaucion;Templado
AMAZONAS;2014;09;14.98;160.0;3_Peligro;Templado
AMAZONAS;2014;10;15.2;187.7;3_Peligro;Templado
AMAZONAS;2014;11;15.66;262.8;3_Peligro;Templado
AMAZONAS;2014;12;15.04;261.0;3_Peligro;Templado
AMAZONAS;2015;01;14.62;419.5;3_Peligro;Templado
AMAZONAS;2015;02;15.25;190.7;3_Peligro;Templado
AMAZONAS;2015;03;15.25;564.6;3_Peligro;Templado
AMAZONAS;2015;04;15.02;273.2;3_Peligro;Templado
AMAZONAS;2015;05;14.87;226.3;3_Peligro;Templado
AMAZONAS;2015;06;14.47;74.4;2_Precaucion;Templado
AMAZONAS;2015;07;14.63;61.6;2_Precaucion;Templado
AMAZONAS;2015;08;15.58;57.7;2_Precaucion;Templado
AMAZONAS;2015;09;15.7;77.9;2_Precaucion;Templado
AMAZONAS;2015;10;15.72;168.8;3_Peligro;Templado
AMAZONAS;2015;11;15.92;257.3;3_Peligro;Templado
AMAZONAS;2015;12;15.49;266.1;3_Peligro;Templado
AMAZONAS;2016;01;16.44;351.0;3_Peligro;Templado
AMAZONAS;2016;02;16.06;426.6;3_Peligro;Templado
AMAZONAS;2016;03;16.19;320.7;3_Peligro;Templado
AMAZONAS;2016;04;15.97;199.8;3_Peligro;Templado
AMAZONAS;2016;05;15.69;171.4;3_Peligro;Templado
AMAZONAS;2016;06;14.49;115.7;3_Peligro;Templado
AMAZONAS;2016;07;14.49;40.6;2_Precaucion;Templado
AMAZONAS;2016;08;15.12;77.1;2_Precaucion;Templado
AMAZONAS;2016;09;15.07;152.2;3_Peligro;Templado
AMAZONAS;2016;10;15.54;280.1;3_Peligro;Templado
AMAZONAS;2016;11;16.32;196.9;3_Peligro;Templado
AMAZONAS;2016;12;15.12;387.9;3_Peligro;Templado
AMAZONAS;2017;01;15.39;116.3;3_Peligro;Templado
AMAZONAS;2017;02;15.8;130.2;3_Peligro;Templado
AMAZONAS;2017;03;15.55;108.5;3_Peligro;Templado
AMAZONAS;2017;04;15.41;44.1;2_Precaucion;Templado
AMAZONAS;2017;05;15.54;34.7;2_Precaucion;Templado
AMAZONAS;2017;06;14.91;18.6;1_Seguro;Templado
AMAZONAS;2017;07;14.05;2.2;1_Seguro;Templado
