CLUSTER;n;alt;la;lo;regs;top;radio_km
0;19;197.73684210526315;-12.698901550262468;-69.29229951283551;1;Madre De Dios;34.87340240633802
1;16;189.125;-12.593313352382127;-69.17761069087396;1;Madre De Dios;6.509861685846742
2;67;97.77611940298507;-3.736823829846344;-73.26233758511384;1;Loreto;4.976845433189124
3;25;422.24;-14.071277319703567;-75.72653936494805;1;Ica;6.6962269642865815
4;43;44.02325581395349;-8.125509793440417;-79.02841523860184;1;La Libertad;5.021953777073167
5;85;18.6;-6.797334371661701;-79.87406055662738;1;Lambayeque;11.75153508983463
6;24;30.0;-5.2356601960911915;-80.65456012241839;1;Piura;4.720981707724303
7;19;11.368421052631579;-3.574790059441703;-80.4608779129707;1;Tumbes;6.179691762136203
8;35;3863.114285714286;-15.841945258756674;-69.99765458121358;1;Puno;7.848312080274983
9;33;153.63636363636363;-8.364888749447863;-74.57524390944437;1;Ucayali;6.660289190072984
10;28;627.1785714285714;-6.444531834186265;-76.377835497845;1;San Martín;10.204993539357805
11;17;671.1176470588235;-17.99267444858762;-70.23290832740017;1;Tacna;4.417407693933961
12;53;2365.056603773585;-16.483492473689086;-71.47043190819825;2;Arequipa;19.80373042534784
13;39;1362.2051282051282;-17.210727381114758;-70.94466315846944;1;Moquegua;4.66387471188863
14;17;84.47058823529412;-3.92201599053265;-70.96589565129703;1;Loreto;102.68228869030223
15;33;1983.2121212121212;-9.949061853522092;-76.23026665409058;1;Huánuco;6.844864375690026
16;35;4223.171428571429;-10.547275521209258;-76.24905995242565;2;Pasco;21.008468624494554
17;43;2722.4186046511627;-7.173719622989286;-78.49164103656206;1;Cajamarca;7.196180673826605
18;26;2467.0384615384614;-6.214578788685472;-77.88873847192373;1;Amazonas;9.05097206039098
19;26;4243.307692307692;-9.5290251675799;-77.44721840661902;1;Áncash;10.10075456504575
20;23;3116.695652173913;-9.520607158081242;-77.52482922368941;1;Áncash;3.3192290481382587
21;17;4.411764705882353;-12.062991587342816;-77.15063525527727;1;Callao;0.6926286559524735
22;87;3456.4597701149423;-13.51080738106248;-71.9805528004219;2;Cusco;8.608524076915502
23;15;2516.133333333333;-13.626530566478396;-72.88355059483101;1;Apurímac;2.430784085636952
