POLO;recursos;jerarquia;lejania;region;regiones;saturacion;novedad;limpio;s;puntaje
100;15;3.3333333333333335;15;ÁNCASH;1;0.0;0.5221238938053098;True;0.6654867256637169;0.8566371681415929
261;9;2.5555555555555554;9;JUNÍN;1;0.0;0.5088495575221239;True;0.5561946902654867;0.6193215339233037
28;34;2.735294117647059;34;LIMA;2;0.6764705882352942;0.22592399791775114;False;0.38125604223990484;0.588365434669443
30;40;2.375;40;PASCO;2;0.0;0.577433628318584;True;0.5809892541087232;0.5857300884955752
23;17;2.411764705882353;17;AREQUIPA;1;0.0;0.5265486725663717;True;0.550096675838477;0.5814940135346174
11;49;2.326530612244898;49;PUNO;1;0.0;0.5973451327433629;True;0.5886955287804123;0.5771627234964782
114;13;2.3846153846153846;13;JUNÍN;1;0.0;0.5176991150442478;True;0.5404113585529515;0.5706943498978897
224;9;2.888888888888889;9;CUSCO;1;1.0;0.008849557522123894;False;0.24905183312262957;0.5693215339233038
9;8;2.375;8;PASCO;2;0.0;0.5066371681415929;True;0.5314317319848293;0.5644911504424779
134;7;2.4285714285714284;7;ÁNCASH;2;0.14285714285714285;0.43299620733249056;False;0.48677081452049853;0.5584702907711756
139;46;2.260869565217391;46;LA LIBERTAD;1;0.0;0.5907079646017699;True;0.5756073764634749;0.5554732589457483
112;6;2.3333333333333335;6;ÁNCASH;1;0.0;0.5022123893805309;True;0.5229772439949432;0.5506637168141593
71;42;2.238095238095238;42;AREQUIPA;1;0.0;0.581858407079646;True;0.5664845584251399;0.5459860935524652
141;12;2.75;12;CUSCO;1;1.0;0.015486725663716814;False;0.2358407079646018;0.5296460176991149
169;14;2.2142857142857144;14;ÁNCASH;1;0.0;0.5199115044247787;True;0.520060502076937;0.5202591656131479
33;137;1.927007299270073;137;JUNÍN;1;0.0;0.7920353982300885;True;0.673611431524357;0.5157128092500485
274;35;2.1142857142857143;35;PUNO;1;0.0;0.5663716814159292;True;0.5397254831135995;0.5041972187104931
52;24;2.125;24;LA LIBERTAD;2;0.0;0.5420353982300885;True;0.5240676359039191;0.5001106194690266
201;14;2.142857142857143;14;PASCO;1;0.0;0.5199115044247787;True;0.5108768286075492;0.4988305941845764
75;18;2.111111111111111;18;AREQUIPA;1;0.0;0.5287610619469026;True;0.5129898862199747;0.4919616519174041
187;30;2.066666666666667;30;MOQUEGUA;1;0.0;0.5553097345132744;True;0.5258596713021493;0.4865929203539823
193;10;2.1;10;LA LIBERTAD;2;0.0;0.5110619469026548;True;0.49917193426042983;0.4833185840707964
129;10;2.1;10;MADRE DE DIOS;2;0.0;0.5110619469026548;True;0.49917193426042983;0.4833185840707964
14;26;2.0384615384615383;26;ÁNCASH;1;0.0;0.5464601769911505;True;0.5160386074102888;0.47547651463580665
68;26;2.0;26;TACNA;1;0.0;0.5464601769911505;True;0.5110935524652339;0.46393805309734515
25;56;1.9285714285714286;56;LAMBAYEQUE;1;0.0;0.6128318584070797;True;0.5483700559869966;0.4624209860935524
54;36;1.9722222222222223;36;HUANCAVELICA;1;0.0;0.5685840707964602;True;0.5230088495575221;0.4622418879056047
180;23;2.0;23;ICA;1;0.0;0.5398230088495575;True;0.5064475347661188;0.46194690265486726
140;34;1.9705882352941178;34;PUNO;1;0.0;0.5641592920353983;True;0.5197014203911654;0.4604242581988548
121;42;1.9523809523809523;42;TUMBES;1;0.0;0.581858407079646;True;0.5297498645475889;0.46027180783817945
69;16;2.0;16;LA LIBERTAD;1;0.0;0.5243362831858407;True;0.495606826801517;0.45730088495575216
2;15;2.0;15;CAJAMARCA;1;0.0;0.5221238938053098;True;0.49405815423514543;0.45663716814159294
226;13;2.0;13;HUANCAVELICA;1;0.0;0.5176991150442478;True;0.49096080910240203;0.45530973451327433
59;51;2.411764705882353;51;CUSCO;1;1.0;0.10176991150442478;False;0.25275154309511416;0.45406038521603326
3;20;2.05;20;APURÍMAC;2;0.15;0.4581858407079646;False;0.45573008849557517;0.45245575221238926
240;26;1.9615384615384615;26;ICA;1;0.0;0.5464601769911505;True;0.5061484975201789;0.45239959155888354
198;7;2.0;7;MADRE DE DIOS;1;0.0;0.504424778761062;True;0.48166877370417194;0.45132743362831856
78;7;2.142857142857143;7;ÁNCASH;3;0.2857142857142857;0.3615676359039191;False;0.40003612064294747;0.4513274336283185
147;5;2.0;5;AREQUIPA;1;0.0;0.5;True;0.47857142857142854;0.44999999999999996
190;5;2.0;5;PUNO;1;0.0;0.5;True;0.47857142857142854;0.44999999999999996
192;5;2.0;5;SAN MARTÍN;1;0.0;0.5;True;0.47857142857142854;0.44999999999999996
213;32;1.9375;32;ÁNCASH;1;0.0;0.5597345132743363;True;0.5123498735777496;0.4491703539823009
55;53;1.8867924528301887;53;AREQUIPA;1;0.0;0.6061946902654867;True;0.5383524556925792;0.4478961429287025
43;37;1.9189189189189189;37;ÁNCASH;1;0.0;0.5707964601769911;True;0.5177042402706119;0.44691461372877295
85;25;1.92;25;PIURA;1;0.0;0.5442477876106194;True;0.49925916561314787;0.4392743362831858
244;16;1.9375;16;ÁNCASH;1;0.0;0.5243362831858407;True;0.48757111251580276;0.4385508849557521
63;15;1.9333333333333333;15;ÁNCASH;2;0.0;0.5221238938053098;True;0.4854867256637168;0.4366371681415929
111;23;1.9130434782608696;23;JUNÍN;1;0.0;0.5398230088495575;True;0.49526741054251633;0.43585994613312806
36;94;2.25531914893617;94;CUSCO;1;1.0;0.19690265486725664;False;0.299230034698873;0.435666541141028
5;19;2.4210526315789473;19;LIMA;1;1.0;0.030973451327433628;False;0.20438818284649676;0.43560782487191424
21;38;1.868421052631579;38;SAN MARTÍN;1;0.0;0.5730088495575221;True;0.5127603300286113;0.43242897065673025
146;11;1.9090909090909092;11;ICA;2;0.0;0.5132743362831859;True;0.476175152281347;0.4267095736122285
19;30;1.8666666666666667;30;LA LIBERTAD;2;0.0;0.5553097345132744;True;0.5001453855878635;0.42659292035398233
149;42;1.8095238095238095;42;CAJAMARCA;1;0.0;0.581858407079646;True;0.5113825176088134;0.41741466498103663
89;8;1.875;8;CAJAMARCA;2;0.0;0.5066371681415929;True;0.467146017699115;0.4144911504424778
161;28;1.8214285714285714;28;LA LIBERTAD;1;0.0;0.5508849557522124;True;0.4912317139245078;0.4116940581542351
125;35;1.8;35;PIURA;1;0.0;0.5663716814159292;True;0.4993173198482933;0.40991150442477875
97;13;1.8461538461538463;13;MOQUEGUA;1;0.0;0.5176991150442478;True;0.4711805893221823;0.40915588835942823
265;7;1.8571428571428572;7;AREQUIPA;1;0.0;0.504424778761062;True;0.46330142676539643;0.4084702907711757
123;7;1.8571428571428572;7;UCAYALI;2;0.0;0.504424778761062;True;0.46330142676539643;0.4084702907711757
39;7;2.0;7;MADRE DE DIOS;2;0.2857142857142857;0.3615676359039191;False;0.38166877370417196;0.4084702907711757
6;22;1.8181818181818181;22;TUMBES;2;0.0;0.5376106194690266;True;0.4815222388231237;0.40673773129525337
221;6;1.8333333333333333;6;MADRE DE DIOS;1;0.0;0.5022123893805309;True;0.4586915297092288;0.40066371681415924
150;70;1.6857142857142857;70;LORETO;1;0.0;0.6438053097345133;True;0.5388269821202818;0.39885587863463967
42;23;1.7826086956521738;23;CAJAMARCA;2;0.0;0.5398230088495575;True;0.47849722420711255;0.39672951135051937
178;15;1.8;15;ICA;1;0.0;0.5221238938053098;True;0.4683438685208597;0.3966371681415929
172;66;1.6818181818181819;66;JUNÍN;1;0.0;0.6349557522123894;True;0.5321313642110103;0.39503218020917136
108;14;1.7857142857142858;14;LA LIBERTAD;1;0.0;0.5199115044247787;True;0.46495846126061047;0.39168773704171933
41;14;1.7857142857142858;14;AMAZONAS;2;0.0;0.5199115044247787;True;0.46495846126061047;0.39168773704171933
99;97;1.597938144329897;97;LAMBAYEQUE;2;0.0;0.7035398230088495;True;0.5693556375200386;0.39044339020162394
73;5;1.8;5;HUANCAVELICA;1;0.0;0.5;True;0.45285714285714285;0.39
241;5;1.8;5;MOQUEGUA;1;0.0;0.5;True;0.45285714285714285;0.39
160;5;1.8;5;HUÁNUCO;2;0.0;0.5;True;0.45285714285714285;0.39
142;5;1.8;5;PUNO;1;0.0;0.5;True;0.45285714285714285;0.39
207;21;1.7619047619047619;21;AMAZONAS;1;0.0;0.5353982300884956;True;0.4727379447354163;0.3891908975979772
7;21;1.7619047619047619;21;AMAZONAS;1;0.0;0.5353982300884956;True;0.4727379447354163;0.3891908975979772
27;24;1.75;24;ICA;1;0.0;0.5420353982300885;True;0.4758533501896334;0.38761061946902653
234;13;1.7692307692307692;13;ÁNCASH;2;0.0;0.5176991150442478;True;0.46129047943207235;0.38607896528250507
218;9;1.7777777777777777;9;PIURA;1;0.0;0.5088495575221239;True;0.4561946902654867;0.3859882005899704
254;11;2.0;11;HUÁNUCO;3;0.45454545454545453;0.28600160901045857;False;0.32877255487874957;0.38580048270313755
