CODIGO DEL RECURSO;NOMBRE DEL RECURSO;REGIÓN;latitud;longitud;ALTITUD;ZONA_CLIMATICA;CLUSTER;CLUSTER_KM
11;Festividad Del Señor De Los Temblores;Cusco;-13.5153;-71.9801;3415.0;Templado Seco (Quechua);22;6
16;Petroglifos De Yonan;Cajamarca;-7.2531078579146415;-79.130786;441.0;Cálido / Desértico (Costa);-1;1
17;Sitio Arqueológico De Collacruz;Amazonas;-6.310457893297969;-77.90701353525948;2686.0;Templado Seco (Quechua);18;2
22;Laguna De Lauricocha;Huánuco;-10.31582177475902;-76.66389048099518;3850.0;Frío (Suni);62;5
24;Nevado De Yerupajá De Queropalca;Huánuco;-10.26842392998;-76.90523484;6370.0;Glacial / Nieve (Janca);-1;8
25;Cordillera Huayhuash - Huánuco;Huánuco;-10.21221925;-76.88232421875;4709.0;Muy Frío (Puna);-1;5
29;Andenerías De Caraybamba ;Apurímac;-14.3795384092317;-73.146075710874;3519.0;Frío (Suni);70;18
30; Sitio Arqueológico De Marcapuchungo;Apurímac;-14.118602157492754;-72.24641025066376;3697.0;Frío (Suni);-1;18
31;Puente Colonial Pachachaca;Apurímac;-13.66304310483;-72.93724536895;1700.0;Templado Cálido (Yunga);-1;16
32;Templo Santa Catalina De Curahuasi;Apurímac;-13.542775;-72.6959277777778;2693.0;Templado Seco (Quechua);-1;23
33;Templo De Chuquinga;Apurímac;-14.29133333333;-73.2564220017;2873.0;Templado Seco (Quechua);-1;18
34;Templo Colonial De Cocharcas;Apurímac;-13.611938030618076;-73.73803403439331;3001.0;Templado Seco (Quechua);70;18
36;Baños Termales De Pincahuacho;Apurímac;-14.283773;-73.276745;3043.0;Templado Seco (Quechua);70;18
37;Centro Administrativo Tambo Colorado;Ica;-13.705141030751882;-75.82944777203284;497.0;Cálido / Desértico (Costa);-1;19
42;Laguna De Pomacocha;Junín;-11.785833;-75.252222;4464.0;Muy Frío (Puna);-1;0
48;Pueblo Simbilá;Piura;-5.246814583692445;-80.65157890319824;26.0;Cálido / Desértico (Costa);6;14
49;Iglesia Nuestra Señora Del Carmen;Piura;-5.193248647927614;-80.62566608190536;35.0;Cálido / Desértico (Costa);6;14
50;Parque Ecológico Kurt Beer;Piura;-5.208107683417542;-80.66737309098244;32.0;Cálido / Desértico (Costa);6;14
61;Reserva Nacional Illescas;Piura;-5.9744195697833975;-81.09753973782063;255.0;Cálido / Desértico (Costa);-1;10
