POLO;frac_paradas_pagadas;tarifa_mediana_soles
0;0.284;6.0
1;0.107;2.5
10;0.065;5.0
100;0.4;30.0
101;0.429;5.0
102;0.111;3.0
103;0.571;10.0
104;0.438;10.0
105;0.079;6.0
106;0.025;9.0
107;0.0;
108;0.2;5.0
109;0.636;40.0
11;0.163;10.0
110;0.125;5.0
111;0.1;3.0
112;0.667;65.0
113;0.0;
114;0.083;2.5
115;0.045;2.0
116;0.0;
117;0.037;1.0
12;0.0;
120;0.083;3.5
121;0.1;17.0
122;0.071;2.0
123;0.286;2.0
124;0.0;
125;0.097;5.0
126;0.286;3.5
128;0.095;3.5
129;0.8;30.0
13;0.056;5.0
131;0.083;
132;0.0;
133;0.278;15.0
134;0.2;50.0
135;0.0;
136;0.167;6.0
137;0.257;20.0
138;0.067;8.0
139;0.294;5.0
14;0.538;60.0
140;0.147;15.0
141;0.0;
142;0.4;2.0
146;0.091;30.0
147;0.5;70.0
148;0.0;
149;0.286;6.5
15;0.2;2.5
150;0.2;17.5
151;0.5;5.0
152;0.25;9.0
153;0.0;
157;0.125;
158;0.091;10.0
16;0.0;
160;0.0;
161;0.04;25.0
162;0.143;4.0
163;0.143;5.0
164;0.0;
165;0.022;5.0
166;0.2;7.5
167;0.0;
168;0.125;3.0
169;0.643;30.0
17;0.071;7.0
170;0.227;5.0
171;0.0;
172;0.078;3.0
173;0.25;72.5
176;0.0;
177;0.088;30.0
178;0.167;22.5
18;0.121;22.5
180;0.579;11.0
181;0.0;
183;0.0;
184;0.0;
185;0.2;5.0
187;0.067;30.0
188;0.143;5.0
189;0.111;30.0
19;0.133;5.0
190;0.0;
192;0.6;16.5
193;0.0;
194;0.2;5.0
195;0.0;
198;1.0;
199;0.026;20.0
2;0.2;8.0
20;0.091;5.0
201;0.286;4.5
202;0.038;20.0
203;0.053;1.0
204;0.114;3.0
205;0.0;
206;0.0;
207;0.238;8.0
208;0.218;5.0
21;0.676;10.0
211;0.1;10.0
213;0.37;10.0
214;0.158;12.0
217;0.0;
218;0.0;
219;0.2;8.25
22;0.286;5.0
221;0.667;30.0
222;0.429;15.0
223;0.0;
224;0.0;
225;0.0;
226;0.0;
227;0.15;80.0
23;0.267;70.0
230;0.0;
232;0.273;4.0
233;0.0;
234;0.0;
235;0.222;10.0
238;0.571;12.5
239;0.25;5.0
24;0.1;4.0
240;0.12;9.0
241;0.4;8.0
244;0.083;30.0
245;0.5;15.0
246;0.0;
248;0.0;
249;0.0;
25;0.2;11.0
251;0.0;
252;0.2;10.0
253;0.1;5.0
254;0.727;30.0
256;0.36;8.0
257;0.0;
258;0.0;10.0
259;0.353;5.0
26;0.0;
261;0.111;11.0
264;0.0;
265;0.25;
268;0.056;2.0
27;0.458;3.0
273;0.0;
274;0.162;7.0
28;0.235;5.0
29;0.182;2.0
3;0.111;3.5
30;0.1;5.0
31;0.2;10.0
32;0.182;2.75
33;0.123;4.0
34;0.077;
36;0.242;20.0
37;0.074;7.0
38;0.179;5.0
39;0.429;15.0
4;0.529;125.0
40;0.059;
41;0.5;22.5
42;0.091;7.5
43;0.297;30.0
45;0.1;10.0
46;0.0;
47;0.0;15.0
48;0.067;
49;0.0;
5;0.222;10.0
50;0.1;5.0
51;0.136;
52;0.227;3.0
53;0.385;5.0
54;0.129;7.5
55;0.23;10.0
56;0.059;
59;0.194;100.0
6;0.045;5.0
60;0.083;3.5
61;0.0;5.0
62;0.158;21.0
63;0.133;5.0
65;0.154;20.0
66;0.273;10.0
67;0.286;6.0
68;0.192;6.0
69;0.062;2.0
7;0.524;10.0
70;0.167;17.5
71;0.366;70.0
72;0.357;5.0
73;0.0;
74;0.375;3.5
75;0.0;
77;0.0;
78;0.857;40.0
79;0.074;4.0
8;0.143;15.0
82;0.273;3.0
83;0.138;10.0
84;0.0;
85;0.0;3.0
86;0.468;6.0
87;0.0;
88;0.429;2.0
89;0.125;10.0
9;0.0;
90;0.1;5.0
91;0.0;
92;0.111;3.0
93;0.071;5.0
94;0.152;8.0
95;0.0;
96;0.333;10.0
97;0.111;20.0
98;0.149;5.0
99;0.172;7.0
