REG;ZONA_CLIMATICA;recursos;lat;lon;alt
AMAZONAS;Templado Cálido (Yunga);21;-6.1756055507680685;-77.85269863044408;1910.857142857143
AMAZONAS;Templado Seco (Quechua);41;-6.31198022682185;-77.9038827603412;2606.7073170731705
AMAZONAS;Tropical Húmedo (Selva);9;-6.077437975388392;-78.00787062831697;940.7777777777778
APURÍMAC;Frío (Suni);40;-14.06997974171946;-72.98818699658719;3709.475
APURÍMAC;Muy Frío (Puna);14;-14.12372886564245;-72.76528605969798;4275.571428571428
APURÍMAC;Templado Cálido (Yunga);16;-13.699399724013695;-73.00763197590385;1960.5
APURÍMAC;Templado Seco (Quechua);95;-13.741906092850767;-73.19081591351616;2956.8105263157895
AREQUIPA;Cálido / Desértico (Costa);92;-16.586647909765166;-72.73566548570908;72.0
AREQUIPA;Frío (Suni);42;-15.559835460746724;-71.75855171278106;3710.6666666666665
AREQUIPA;Muy Frío (Puna);13;-15.681607852886504;-71.54098240200857;4299.615384615385
AREQUIPA;Templado Cálido (Yunga);45;-16.042234796018374;-72.61591277459516;1445.5111111111112
AREQUIPA;Templado Seco (Quechua);99;-16.048010387491974;-71.84868305599878;2744.2323232323233
AYACUCHO;Frío (Suni);45;-13.612863544266386;-74.16848094887851;3713.6
AYACUCHO;Muy Frío (Puna);30;-13.464647930026684;-74.23306483360396;4228.3
AYACUCHO;Templado Cálido (Yunga);15;-12.838915794666667;-73.73706352266666;1001.2666666666667
AYACUCHO;Templado Seco (Quechua);162;-13.443446495210315;-74.12374928369401;2977.1604938271603
CAJAMARCA;Frío (Suni);8;-7.342941889949394;-78.30159929731954;3708.75
CAJAMARCA;Templado Cálido (Yunga);46;-5.834062525853752;-78.90183302369681;1596.804347826087
CAJAMARCA;Templado Seco (Quechua);109;-7.016227081549254;-78.52961118750326;2772.7247706422017
CALLAO;Cálido / Desértico (Costa);23;-12.034928136308103;-77.15120429453323;6.478260869565218
CUSCO;Cálido / Desértico (Costa);21;-11.817642679689541;-72.94357252798652;408.5238095238095
CUSCO;Frío (Suni);81;-13.777263914277427;-71.76652742933298;3748.3086419753085
CUSCO;Glacial / Nieve (Janca);13;-13.847012310847699;-71.20093934667058;5065.7692307692305
CUSCO;Muy Frío (Puna);66;-13.965901835508477;-71.47143765020253;4389.363636363636
CUSCO;Templado Cálido (Yunga);152;-12.706764455363276;-73.22545871978899;1179.7434210526317
CUSCO;Templado Seco (Quechua);174;-13.529278120827486;-71.9498005329628;3226.867816091954
HUANCAVELICA;Frío (Suni);29;-12.806651501789325;-74.92069358650872;3732.310344827586
HUANCAVELICA;Muy Frío (Puna);12;-12.842977623635159;-74.97012463695637;4322.25
HUANCAVELICA;Templado Seco (Quechua);23;-12.671469443409332;-74.92215600207935;3186.0
HUÁNUCO;Cálido / Desértico (Costa);20;-9.22222695403738;-74.96037722413368;259.55
HUÁNUCO;Frío (Suni);26;-9.924494844816374;-76.56399089539454;3727.1923076923076
HUÁNUCO;Muy Frío (Puna);9;-9.862666260068872;-76.83008433268866;4252.0
HUÁNUCO;Templado Cálido (Yunga);97;-9.515791401283048;-76.0997671759203;1299.3505154639174
HUÁNUCO;Templado Seco (Quechua);33;-9.816242196772412;-76.47295035447462;3187.909090909091
ICA;Cálido / Desértico (Costa);86;-14.142709334419724;-75.78432376784751;210.13953488372093
ICA;Templado Cálido (Yunga);18;-14.523604805175795;-75.1691082664742;836.1666666666666
JUNÍN;Cálido / Desértico (Costa);8;-11.055214614781374;-74.28087012691464;389.5
JUNÍN;Frío (Suni);98;-11.914717654269285;-75.46552087251551;3765.8571428571427
JUNÍN;Muy Frío (Puna);53;-11.627352867714528;-75.77356645034718;4317.8490566037735
JUNÍN;Templado Cálido (Yunga);98;-11.173244532231047;-74.87090823008334;942.9489795918367
JUNÍN;Templado Seco (Quechua);129;-11.967944731037738;-75.30897472641959;3299.6666666666665
LA LIBERTAD;Cálido / Desértico (Costa);76;-7.830988194144178;-79.2334429195865;30.63157894736842
LA LIBERTAD;Frío (Suni);20;-7.994286111720863;-78.26476855596378;3733.55
LA LIBERTAD;Templado Cálido (Yunga);15;-7.665894007212211;-78.66188943456208;1593.6666666666667
LA LIBERTAD;Templado Seco (Quechua);48;-7.920315194204089;-78.22000222775226;3024.1041666666665
LAMBAYEQUE;Cálido / Desértico (Costa);163;-6.690214603503934;-79.79794586439857;58.38036809815951
LIMA;Cálido / Desértico (Costa);332;-12.061120675197063;-77.00107751797972;110.96084337349397
LIMA;Frío (Suni);67;-11.913940652008211;-76.15966229311306;3725.283582089552
LIMA;Glacial / Nieve (Janca);11;-11.410402262914856;-76.34965418321188;5008.363636363636
LIMA;Muy Frío (Puna);78;-11.571236180694187;-76.28057679673023;4423.858974358975
LIMA;Templado Cálido (Yunga);53;-11.722363039861946;-76.72999323679;1309.566037735849
LIMA;Templado Seco (Quechua);85;-11.838783356393268;-76.39564741207893;3088.5529411764705
LORETO;Tropical Húmedo (Selva);134;-4.339832751160241;-73.57570257898962;114.82089552238806
MADRE DE DIOS;Tropical Húmedo (Selva);69;-12.35428942713688;-69.81553553987237;261.7971014492754
MOQUEGUA;Cálido / Desértico (Costa);30;-17.595015898536797;-71.31813857198894;51.03333333333333
MOQUEGUA;Frío (Suni);13;-16.39859180116516;-70.77308787825233;3718.230769230769
MOQUEGUA;Muy Frío (Puna);8;-16.4743806046;-70.6874910100425;4288.125
MOQUEGUA;Templado Cálido (Yunga);55;-17.119009825168032;-70.94493489730452;1562.6909090909091
MOQUEGUA;Templado Seco (Quechua);37;-16.627599189350253;-70.7968551555356;3089.189189189189
PASCO;Cálido / Desértico (Costa);10;-10.25769976976718;-75.10379377366982;329.1
PASCO;Frío (Suni);24;-10.509037328634163;-76.31221941059522;3746.75
PASCO;Muy Frío (Puna);46;-10.694809490991188;-76.24481077147394;4283.652173913043
PASCO;Templado Cálido (Yunga);83;-10.53313009722785;-75.40236239994395;1567.0602409638554
PASCO;Templado Seco (Quechua);21;-10.596216056515349;-76.0044199251802;3027.0
PIURA;Cálido / Desértico (Costa);134;-4.950132918169588;-80.77647101719305;63.8955223880597
PIURA;Frío (Suni);7;-5.055271268571429;-79.46691874;3572.714285714286
PIURA;Templado Cálido (Yunga);53;-5.092595464239199;-79.73769234614231;1537.8301886792453
